名前,住所,お店の場所,経度,緯度
アル・プラザつかしん,兵庫県尼崎市塚口本町4-8-1,,135.4194003,34.7624303
ペリカン西神戸,兵庫県神戸市西区竜が岡1-21-1,カナート西神戸内2F,134.9403013,34.7108049
ライフ下山手,兵庫県神戸市中央区下山手通7-1-2,,135.1788478,34.6877844
西友ザ・モール姫路,兵庫県姫路市今宿2017-1,,134.6698458,34.8409512
モーリーファンタジー伊丹昆陽,兵庫県伊丹市池尻4-1-1,イオン3F,135.3831715,34.78436130000001
モーリーファンタジー加古川,兵庫県加古川市平岡町新在家615-1,イオン2F,134.8624837,34.7492574
モーリーファンタジー三木,兵庫県三木市大村字砂163,イオン3F,134.9724881,34.8052391
モーリーファンタジー山崎,兵庫県宍粟市山崎町中井字城下10,イオン3F,134.543496,35.0021692
モーリーファンタジー南淡路,兵庫県南あわじ市賀集八幡北字東内378-1,イオン1F,134.7408563,34.2795805
モーリーファンタジー明石,兵庫県明石市大久保町ゆりのき通り3-3-1,イオン明石3ー街3F,134.9351504,34.67884
らんらんらんど長田南,兵庫県神戸市長田区東尻池新町1-20,イオン長田南ショッピングセンター内2F,135.1593499,34.6551984
イオン赤穂,兵庫県赤穂市中広字別所55-3,,134.4008295,34.7558146
イオン和田山,兵庫県朝来市和田山町牧田岡774,,134.8636862,35.329326
イオン猪名川,兵庫県川辺郡猪名川町猪名川町白金2-1,,135.3651532,34.9021483
イオン伊丹昆陽,兵庫県伊丹市池尻4-1-1,,135.38222740000003,34.7845199
イオン神戸北,兵庫県神戸市北区上津台8-1-1,,135.1945815,34.8609275
イオン加古川,兵庫県加古川市平岡町新在家615-1,,134.8621201,34.7491423
イオン明石,兵庫県明石市大久保町ゆりのき通3-3-1,,134.9351072,34.67862680000001
イオン洲本,兵庫県洲本市塩屋1-1-8,,134.8925861,34.3450718
アピタ大和郡山,奈良県大和郡山市田中町字宮西517,,135.7695403,34.6422744
ペリカン和歌山,和歌山県和歌山市新生町7-20,イズミヤ内2F,135.18755990000002,34.2216139
ドナリアコットミレニアシティ岩出店,和歌山県岩出市中迫字塚本147,ミレニアシティ,135.31544310000004,34.2598459
にこぱガーデンパーク和歌山店,和歌山県松江字向鵜の島1469-1,ガーデンパーク和歌山,135.1533632,34.239266
ユーズランド和歌山店,和歌山県和歌山市中字楠谷573,イオンモール和歌山2F区画ー号2059,135.1487423,34.2757354
オークワ スーパーセンター南紀店,和歌山県新宮市佐野3-11-19,,135.9696523,33.6753618
オークワ パビリオンシティ田辺店,和歌山県田辺市稲成町新江原3165,,135.3759054,33.7440266
オークワ ミレニアシティ岩出店,和歌山県岩出市中迫147,,135.3150662,34.2597521
オークワ ロマンシティ御坊店,和歌山県御坊市湯川町財部181,,135.1487845,33.8976627
タイトーFステーション 御坊店,和歌山県御坊市湯川町財部181,,135.1489615,33.8977874
モーリーファンタジー和歌山,和歌山県和歌山市中字楠谷573,イオン3F,135.1489488,34.275875
トイザらス岡山,岡山県岡山市北区岡南町2-6-52,,133.9263805,34.6403394
ユーズランド倉敷店,岡山県倉敷市水江一-イオンモ-ル倉敷2F,,133.7460732,34.6032748
こどもや西大寺店,岡山県岡山市西大寺南1-2-1,天満屋ハピータウン西大寺店内,134.0300687,34.6524334
モーリーファンタジー岡北,岡山県岡山市北区中井町2-2-7,天満屋ハピータウン3F,133.9287009,34.6796328
モーリーファンタジー水島,岡山県倉敷市水島高砂町3-11,マックスバリュ1F,133.7369128,34.5304933
モーリーファンタジー津山,岡山県津山市河辺1000-1,イオン2F,134.0458668,35.0649267
イオン津山,岡山県津山市河辺1000-1,,134.0464004,35.0651166
ペリカン呉,広島県呉市宝町5-10,ゆめタウン呉内3F,132.556431,34.2423015
ペリカン大竹,広島県大竹市晴海1-6-1,ゆめタウン大竹内2F,132.2235994,34.2412056
トイザらス広島宇品,広島県広島市南区宇品西216-51,ベイシティ宇品2F,132.4579438,34.364442
トイザらス福山,広島県福山市東深津町3-21-4,,133.3984065,34.4946142
フジグラン神辺,広島県福山市神辺町道上75,,133.3571823,34.5444996
フジグラン三原,広島県三原市円一町1-1-7,,133.0790152,34.39282
ヤマダ電機テックランド福山西,広島県福山市高西町3-2-38,,133.2382948,34.4442867
イトーヨーカドー福山,広島県福山市入船町3-1-60,,133.3784849,34.4868696
ふぇすたらんど五日市,広島県広島市佐伯区八幡1-24-17,サンリブ五日市店内,132.3585597,34.3870108
モーリーファンタジー・f広島祇園,広島県広島市安佐南区祇園3-2-1,イオンSC3F,132.46142790000002,34.4440928
イオン広島府中,広島県安芸郡府中町府中町大須2-1-1,,132.4999746,34.3943731
イオン三原,広島県三原市城町2-13-1,,133.0872248,34.3991334
トイザらス下関,山口県下関市ゆめタウン1-1,ゆめタウン長府内,131.0127757,34.0301968
ふぇすたらんど下松,山口県下松市南花岡6-8-1,サンリブ下松店内,131.8654849,34.0306232
モーリーファンタジー光,山口県光市浅江字木園1756-1,イオン2F,131.9278314,33.9790769
平和堂大野,岐阜県揖斐郡大野町大字黒野字上柿木12-1,,136.6216078,35.4672235
アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬641-2,,136.6424628,35.3590696
ペリカン高山,岐阜県高山市岡本町3-18-2,バロー高山内2F,137.2471021,36.1496493
セガワールドアクアウォーク大垣,岐阜県大垣市林町6-80-21,アクアウォーク大垣2F,136.6173199,35.3703827
にこぱアクアウォーク大垣店,岐阜県大垣市林町6-80-21,,136.6171384,35.3706092
アピタ岐阜,岐阜県岐阜市加納神明町6-1,,136.7490887,35.4014982
アピタ各務原,岐阜県各務原市鵜沼各務原町8-7,,136.9049071,35.397704100000006
イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野3-3-6,,136.7273434,35.3639975
モーリーファンタジー関,岐阜県関市倉知516,サンサンシティ・マーゴイオン1F,136.9001064,35.4779127
トイザらス静岡,静岡県静岡市清水区鳥坂860,クレッセ静岡2F,138.4340189,35.0132085
トイザらス浜松,静岡県浜松市中区鍛冶町15,ザザシティハママツ2F,137.7291276,34.7048136
西友沼津,静岡県沼津市大岡1330-1,,138.8753735,35.102084
西友浜北,静岡県浜松市浜北区平口2861,,137.760731,34.7944018
AGスクエア清水,静岡県静岡市清水区駒越北町8-1,ベイドリーム清水,138.4994752,34.9848903
AGスクエア磐田,静岡県磐田市下万能413,,137.8328781,34.7179812
ミシマトイス,静岡県三島市本町3-35,,138.9141007,35.1194906
THE 3RD PLANET フレスポ静岡店,静岡県静岡市清水区鳥坂860,,138.4343247,35.0133227
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5,,138.8610723,35.1039796
ピアゴ袋井,静岡県袋井市新池字原川田1158-1,,137.9128383,34.7402909
ピアゴ榛原,静岡県牧之原市細江字濱田1371-1,,138.2394651,34.7499938
ピアゴ上岡田,静岡県磐田市上岡田字村東817-1,,137.8488832,34.6991743
ピアゴ香貫,静岡県沼津市下香貫字汐入2216,,138.8765783,35.0735688
アピタ浜北,静岡県浜松市貴布称1200,,137.7791316,34.7987577
アピタ大仁,静岡県伊豆の国市吉田字九十分153,の1,138.9361629,35.0001792
プラサカプコン志都呂店,静岡県浜松市西区志都呂町5605,イオンモール浜松志都呂3F,137.6506509,34.696685
MARK IS 静岡店,静岡県静岡市葵区柚木191,MARKIS静岡3階,138.4091493,34.9842497
タイトーステーション ウェルディ長泉店,静岡県駿東郡長泉町下長窪字城山1076-1,ウェルディ長泉2F,138.8911349,35.1483596
タイトーFステーション 浜松市野,静岡県浜松市東区天王町字諏訪1981-3,イオンモール浜松市野店1F,137.7630438,34.7400129
イトーヨーカドー浜松宮竹,静岡県浜松市東区上西町1020-1,,137.7643641,34.724349
ソユー竜宮タウン静岡店,静岡県静岡市駿河区石田1-5-1,アピタ静岡SC2F,138.401988,34.9598953
モーリーファンタジー・f富士南,静岡県富士市鮫島118-10,イオンタウン2F,138.6757142,35.1402072
モーリーファンタジー浜松市野,静岡県浜松市東区天王町字諏訪1981-3,イオン2F,137.7626038,34.740348
モーリーファンタジー浜松志都呂,静岡県浜松市西区志都呂町2-37-1,イオン3F,137.6510265,34.6965482
らんらんらんど袋井,静岡県袋井市新池字原川田1158-1,ピアゴ袋井店2F,137.9134928,34.7401147
ビックカメラ浜松店,静岡県浜松市中区砂山町322-1,,137.7338611,34.7032437
イオン浜松市野,静岡県浜松市東区天王町字諏訪1981-3,,137.7633119,34.7404273
トイザらス津,三重県津市藤方985-1,,136.5186322,34.6855034
ドナリアコットサンバレー店,三重県津市高茶屋小森町145,サンバレー2F,136.5179067,34.6699937
NICOPAイオン津店,三重県津市桜橋3-446,イオン津店2F,136.5183313,34.7367513
NICOPAイオン伊勢店,三重県伊勢市楠部町乙160,イオン伊勢店,136.7310675,34.4783052
四日市アミューズメントパーク,三重県四日市市安島1-3-31,ララスクエア5F,136.6166547,34.9686061
ピアゴ嬉野店,三重県松阪市嬉野中川新町4-205,,136.4796411,34.6323561
ピアゴ阿倉川,三重県四日市市阿倉川町15-27,,136.6282309,34.9857793
アピタ鈴鹿,三重県鈴鹿市南玉垣町3628,,136.5821512,34.8531992
アピタ松阪三雲,三重県松阪市市場庄町1266-1,,136.5204398,34.6041821
アピタ四日市,三重県四日市市安島1-3-31,,136.6166547,34.9686061
アピタ桑名,三重県桑名市中央町3-21,,136.687686,35.0642021
アピタ伊賀上野,三重県上野市服部町1788,,136.1358868,34.7787636
タイトーステーション イオン明和店,三重県多気郡明和町中村1223,,136.613901,34.581187
アピナ鈴鹿店,三重県鈴鹿市庄野羽山4-20-1,イオンタウン鈴鹿2階,136.527046,34.8721888
モーリーファンタジー阿児,三重県志摩市阿児町鵜方3215,イオン2F,136.8284271,34.3234541
モーリーファンタジー伊賀上野,三重県伊賀市上野茅町2519,イオン2F,136.1366403,34.7600038
モーリーファンタジー四日市北,三重県四日市市富州原町2-40,イオン2F,136.6572867,35.0078825
モーリーファンタジー津城山,三重県津市久居小野辺町1130-7,イオンタウン2F,136.5015284,34.6794975
モーリーファンタジー東員,三重県員弁郡東員町長深字 築田510-1,イオン3F,136.5795337,35.0618621
モーリーファンタジー明和,三重県多気郡明和町中村長波賀1223,イオン2F,136.6144217,34.581345
モーリーファンタジー鈴鹿,三重県鈴鹿市庄野羽山4-1-2,イオン2F,136.5316324,34.8716102
イオン伊勢,三重県伊勢市楠部町乙160-2,,136.7310675,34.4783052
イオン鈴鹿,三重県鈴鹿市庄野羽山4-1-2,,136.5316485,34.8718303
イオン明和,三重県多気郡明和町中村1223,,136.613901,34.581187
アル・プラザ水口,滋賀県甲賀市水口町本綾野566-1,,136.1693221,34.9768518
ビバシティ平和堂,滋賀県彦根市竹ケ鼻町43-1,,136.2508666,35.2437061
アル・プラザ草津,滋賀県草津市西渋川1-23-30,,135.9585663,35.0255406
トイザらス大津,滋賀県大津市萱野浦25-30,,135.910566,34.9906746
トイザらス彦根,滋賀県彦根市小泉町31-1,ビバシティ内,136.2498888,35.2453058
セガワールド草津,滋賀県草津市西渋川1-23-23,SARA新棟2F,135.9597829,35.0242214
ゲームランド草津,滋賀県草津市新浜町300,イオンモール草津3F,135.9176092,34.9975646
タイトーFステーション イオン近江八幡店,滋賀県近江八幡市鷹飼町南3-7,イオン近江八幡2ー街1階,136.1029311,35.1218397
モーリーファンタジー近江八幡,滋賀県近江八幡市鷹飼町南3-7,イオン3F,136.1030438,35.121642300000005
モーリーファンタジー西大津,滋賀県大津市皇子が丘3-11-1,イオン4F,135.8604497,35.0245015
モーリーファンタジー草津,滋賀県草津市新浜町300,イオン3F,135.9172122,34.9977272
モーリーファンタジー長浜,滋賀県長浜市山階町271-1,イオン2F,136.2894546,35.3969017
イオン草津,滋賀県草津市新浜町300,,135.9172873,34.9975822
アル・プラザ亀岡,京都府亀岡市篠町野条上又11-1,,135.6024036,35.0015291
アル・プラザ城陽,京都府城陽市富野荒見田112,,135.7858456,34.8424397
アル・プラザ京田辺,京都府京田辺市田辺中央5-2-1,,135.7690473,34.8217554
トイザらス向日市,京都府向日市鶏冠井町西金村5,むこうしステーションパーク内,135.7177083,34.9433311
ライフ太秦,京都府京都市右京区太秦安井池田町6,,135.716706,35.01506
イズミヤ八幡,京都府八幡市八幡一ノ坪23-1,,135.7127014,34.861118
キデイランド京都洛北,京都府京都市左京区高野西開町36,カナート洛北,135.7789448,35.041078
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下32,京都ショッピングセンタービルAM棟2F,135.7950317,34.9371304
アミパラ京都南店,京都府向日市森本町佃15-7,2F,135.7157391,34.9480638
レインボーランド長岡店,京都府長岡京市開田4-7-1,イズミヤ長岡店2階,135.6925995,34.9227963
レインボーランド六地蔵店,京都府京都市伏見区桃山町西尾12-1,イズミヤ六地蔵店2階,135.7928207,34.93498599999999
レインボーランド伏見店,京都府京都市伏見区深草出羽屋敷町23,イズミヤ伏見店3階,135.7635403,34.94622030000001
モーリーファンタジー京都五条,京都府京都市右京区西院追分町25-1,イオン2F,135.72713800000002,34.9974886
モーリーファンタジー高の原,京都府木津川市相楽台1-1-1,イオンSC4F,135.7904918,34.7259138
モーリーファンタジー福知山,京都府福知山市岩井79-8,イオン2F,135.1011554,35.3168723
イオン伏見,京都府京都市伏見区御堂前町616,,135.7625624,34.9324549
イオン京都五条,京都府京都市右京区西院追分町25-1,,135.7273526,34.9974534
イオン福知山,京都府福知山市岩井79-8,,135.1009569,35.3170167
イオン高の原,京都府木津川市相楽台1-1-1,,135.7902558,34.7259182
トイザらス八戸,青森県八戸市沼館4-7-110,,141.4975887,40.5300814
イトーヨーカドー八戸沼館,青森県八戸市沼館4-7-111,,141.4975165,40.5282123
イトーヨーカドー青森,青森県青森市浜田1-14-1,,140.7490542,40.8008129
モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世41-1,イオン1F,140.4168959,40.8026077
モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田1-7-1,イオン2F,140.5016253,40.6570795
モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平27-1,イオン1F,141.5095483,40.491987
モーリーファンタジー平賀,青森県平川市小和森上松岡193-1,マックスバリュ1F,140.5662457,40.5912272
らんらんらんど三沢,青森県三沢市松園町3-10-1,ビードルプラザ三沢店1F,141.3630299,40.6749926
イオン青森,青森県青森市緑3-9-2,,140.7532926,40.8078124
イオン下田,青森県上北郡おいらせ町中野平40-1,,141.4177839,40.6014566
トイザらス北上,岩手県北上市有田町10-3,,141.104597,39.293822
プラサカプコン盛岡店,岩手県盛岡市前潟4-7-1,イオンモール盛岡2F,141.0986663,39.71156149999999
モーリーファンタジー一関,岩手県一関市山目字泥田89-1,イオン2F,141.1127768,38.9368117
モーリーファンタジー遠野,岩手県遠野市新穀町1-11,とぴあ2F,141.5320523,39.3310038
モーリーファンタジー盛岡,岩手県盛岡市前潟4-7-1,イオン2F,141.0989721,39.7115863
モーリーファンタジー盛岡南,岩手県盛岡市本宮7-1-1,イオン3F,141.1285565,39.6835072
モーリーファンタジー前沢,岩手県奥州市前沢区向田2-85,イオン2F,141.1295068,39.05244530000001
パロ久慈,岩手県久慈市長内町第30地割32ー2 ,久慈ショッピングセンター1F,141.7855154,40.1899243
イオン前沢,岩手県奥州市前沢区向田2-85,,141.1296785,39.0525494
イオン盛岡,岩手県盛岡市前潟4-7-1,,141.0986663,39.71156149999999
トイザらス石巻矢本,宮城県東松島市小松字上浮足43,,141.2020703,38.4268908
トイザらス名取りんくうタウン,宮城県名取市杜せきのした5-5-13,アクロスプラザ杜せきのした,140.9018684,38.16341300000001
ヤマダ電機LABI仙台,宮城県仙台市青葉区中央3-6-1,,140.8786636,38.2597661
ヨドバシカメラ仙台,宮城県仙台市宮城野区榴岡1-3,(たぶん)12F,140.8826688,38.2578108
西友仙台長町,宮城県仙台市太白区長町7-20-3,,140.8757359,38.2250902
ダイエー仙台,宮城県仙台市青葉区中央2-3-6,,140.8758666,38.2609687
ヨークベニマル角田,宮城県角田市角田字町尻428,,140.7808926,37.9829065
ヨークベニマル名取西,宮城県名取市田高字原389,,140.8764614,38.1782021
ヨークベニマル新田東,宮城県仙台市宮城野区新田東3-1-5,,140.9362567,38.2763938
ヨークベニマル岩沼,宮城県岩沼市藤浪2-4-10,,140.8733297,38.1013978
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1,,140.8883144,38.1565826
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前一-53-1,,140.9692798,38.2602415
サニーランドフォルテ店,宮城県柴田郡大河原町字小島2-1,,140.7373892,38.0656136
ビーカム松森店,宮城県仙台市泉区松森字斉兵衛58-1,,140.9098491,38.3045425
プラサカプコン石巻,宮城県石巻市茜平4-104,イオン石巻SC2F,141.2650246,38.44747479999999
プラサカプコンイオンタウン佐沼,宮城県登米市南方町新島前46-1,イオンタウン佐沼1F,141.18356,38.6833788
イトーヨーカドー石巻あけぼの,宮城県石巻市あけぼの1-1-2,,141.273413,38.4483639
イトーヨーカドーアリオ仙台泉,宮城県仙台市泉区泉中央1-5-1,,140.8821511,38.324442
モーリーファンタジー塩釜,宮城県塩釜市海岸通15-100,マックスバリュ2F,141.024696,38.3186537
モーリーファンタジー加美,宮城県加美郡加美町字赤塚178,SuC1F,140.8659095,38.5625068
モーリーファンタジー気仙沼,宮城県気仙沼市字赤岩舘下6-1,外イオン2F,141.5728691,38.8891087
モーリーファンタジー栗原志波姫,宮城県栗原市志波姫新熊谷11,SuC1F,141.0681275,38.7488971
モーリーファンタジー古川,宮城県大崎市古川旭2-2-1,イオン2F,140.9725875,38.5669989
モーリーファンタジー新名取,宮城県名取市杜せきのした5-3-1,イオン3F,140.8960004,38.16380120000001
モーリーファンタジー石巻,宮城県石巻市茜平4-104,イオン2F,141.2654698,38.4475168
モーリーファンタジー石巻東,宮城県石巻市流留字七勺1-1,SuC1F,141.3760929,38.428253
モーリーファンタジー仙台中山,宮城県仙台市泉区南中山1-35-40,イオン3F,140.8270654,38.297912
モーリーファンタジー多賀城,宮城県多賀城市町前4-1-1,イオン3F,141.0046608,38.282316900000005
モーリーファンタジー富谷,宮城県黒川郡富谷町大清水1-33-1,イオン1F,140.8751233,38.364628
モーリーファンタジー涌谷,宮城県遠田郡涌谷町字洞ヶ崎5,SuC1F,141.1476625,38.5367697
モーリーファンタジー利府,宮城県宮城郡利府町字新屋田前22,イオン2F,140.9722665,38.3263514
イオン仙台幸町,宮城県仙台市宮城野区幸町5-10-1,,140.9030853,38.2734154
イオン多賀城,宮城県多賀城市町前4-1-1,,141.0044837,38.2824517
イオン気仙沼,宮城県気仙沼市赤岩舘下6-1,外,141.5730676,38.8890335
イオン仙台中山,宮城県仙台市泉区南中山1-35-40,,140.8268079,38.298013
イオン古川,宮城県大崎市古川旭2-2-1,,140.9722066,38.5668982
イオン利府,宮城県宮城郡利府町利府字新屋田前22,,140.9720895,38.3267175
イオン石巻,宮城県石巻市蛇田字新金沼170,,141.2658522,38.4475791
イオン富谷,宮城県黒川郡富谷町大清水1-33-1,,140.875236,38.3648762
イオン新名取,宮城県名取市杜せきのした5-3-1,,140.8957161,38.1638265
トイザらス龍ヶ崎,茨城県龍ケ崎市小柴1-7,,140.1636316,35.9313749
トイザらス水戸,茨城県水戸市河和田町3637-1,,140.4114265,36.3632381
ヤマダ電機LABI水戸,茨城県水戸市宮町1-7-33,,140.4754268,36.3701467
ハローズガーデン江戸崎店,茨城県稲敷市江戸崎甲4836,パンプ江戸崎ショッピングセンター1階,140.3156506,35.9591919
ハローズガーデン竜ヶ崎店,茨城県龍ケ崎市小柴5-1-2,ショッピングセンターサプラ2階,140.1603346,35.9327691
ジャングルパーク笠間店,茨城県笠間市赤坂8,笠間SCポレポレシティ1階,140.2516523,36.3914013
こころっこ日立店,茨城県日立市幸町1-16-1,イトーヨーカドー日立店5階 プレビプレイランドコーナー こころっこ,140.6590163,36.59180490000001
水戸京成,茨城県水戸市泉町1-6-1,水戸京成百貨店 7F,140.4643383,36.3781127
筑波西武,茨城県つくば市吾妻1-7-1,西武百貨店 筑波店 4F,140.111812,36.0805225
アピタ佐原東,茨城県稲敷市西代1480,,140.4873555,35.918438
イトーヨーカドー古河,茨城県古河市雷電町1-18,,139.7127565,36.1990298
イトーヨーカドー日立,茨城県日立市幸町1-16-1,,140.6590163,36.59180490000001
イトーヨーカドー竜ヶ崎,茨城県龍ケ崎市小柴5-1-2,,140.1603346,35.9327691
SOYU TOY's NY守谷店,茨城県守谷市百合ヶ丘3-249-1,イオンタウン守谷2F,139.99039,35.9448692
モーリーファンタジー古河2F,茨城県古河市旭町1-2-17,イオン2F,139.7197561,36.1971087
モーリーファンタジー佐原東,茨城県稲敷市西代1495,パルナ2F,140.488147,35.9185481
ビックカメラ水戸店4Fトイズコーナー,茨城県水戸市宮町1-7-31,エクセルみなみ4F・5F,140.4770183,36.37009949999999
イオン下市,茨城県水戸市柳町2-11-6,,140.4911285,36.3657473
イオン鹿嶋,茨城県鹿嶋市宮中290-1,,140.6439741,35.960137
イオン高萩,茨城県高萩市安良川231-1,,140.7080077,36.7058595
イオンつくば,茨城県つくば市稲岡66-1,,140.1329673,36.0349817
イオン下妻,茨城県下妻市堀篭972-1,,139.9897943,36.19035179999999
イオン土浦,茨城県土浦市上高津367,,140.1808547,36.0800877
トイザらス宇都宮,栃木県宇都宮市鶴田町208-1,,139.854243,36.5486067
トイザらス佐野,栃木県佐野市高萩町1324-1,イオン佐野新都市ショッピングセンター2F,139.6062751,36.2991381
JOYFUL－2宇都宮,栃木県河内郡上三川町磯岡421-1,,139.9064275,36.4824014
ザ・ビッグエクストラ真岡,栃木県真岡市台町2668,,140.0017985,36.4327277
ザ・ビッグエクストラさくら,栃木県さくら市櫻野1551,,139.9790317,36.689801
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7,,139.9088155,36.5583104
ヨドバシカメラ宇都宮,栃木県宇都宮市駅前通り1-4-6,宇都宮西口ビル7F,139.8969973,36.560404
ジャンボリー御幸ケ原店,栃木県宇都宮市御幸が原50-1,ヨークベニマル御幸が原店内プレビプレイランドコーナージャンボリー,139.9278894,36.5923741
テクモピアパルテノン宇都宮店,栃木県宇都宮市今泉町237,福田屋ショッピングプラザ宇都宮店2F,139.9003185,36.5736278
テクモピア鹿沼店,栃木県鹿沼市東末広町1073,福田屋鹿沼店3階,139.7529882,36.5653559
アピタ足利,栃木県足利市朝倉町245,,139.4495599,36.3202865
アピタ宇都宮,栃木県宇都宮市江曽島本町22-7,,139.8669094,36.5315924
福田屋百貨店 宇都宮店,栃木県宇都宮市今泉町237,2F,139.9003185,36.5736278
タイトーステーション 宇都宮ベルモール店,栃木県宇都宮市陽東6-2-1,,139.9284026,36.55510599999999
イトーヨーカドー小山,栃木県小山市駅東通り2-3-15,,139.8086134,36.3133638
イトーヨーカドー宇都宮,栃木県宇都宮市陽東6-2-1,,139.9284026,36.55510599999999
アピナ小山店,栃木県小山市駅南町4-27-18,,139.8092311,36.3003751
モーリーファンタジー佐野新都市,栃木県佐野市高萩町1324-1,イオン2F,139.6062697,36.2988441
モーリーファンタジー小山,栃木県小山市中久喜1467-1,イオン2F,139.840993,36.322029
モーリーファンタジー栃木,栃木県栃木市箱森町37-9,イオン2F,139.7241408,36.394918800000006
モーリーファンタジー那須塩原,栃木県那須塩原市島方455,イオンタウン1F,140.0062713,36.9291561
パロ石橋,栃木県下野市下古山3362-1,ヨークタウン,139.8693837,36.468733
らんらんらんど宇都宮,栃木県宇都宮市睦町5-5,スーパーセンタートライアル宇都宮店1F,139.862275,36.5614888
トイザらス太田,群馬県太田市飯塚町1933-2,,139.3761182,36.2828176
トイザらス前橋,群馬県前橋市鳥羽町164-1,,139.0350339,36.374847
トイザらス伊勢崎,群馬県伊勢崎市連取町3025-2,,139.1699868,36.3248257
ヤマダ電機PC&マルチメディア館前橋本店,群馬県前橋市日吉町4-14-13,,139.0766041,36.4055492
あそびの広場SORA島前橋,群馬県前橋市国領町2-14-1,前橋リリカ2F,139.0680744,36.40462400000001
宝島 大間々,群馬県みどり市大間々町大間々40,さくらもーる2F,139.2814834,36.413850200000006
セガワールド館林,群馬県館林市小桑原町949-1,,139.5203033,36.2351992
ハローズガーデン前橋店,群馬県前橋市文京町2-1-1,アピタけやきウォーク前橋店2階,139.0785076,36.3783444
こころっこ新田店,群馬県太田市新田市野井町592-13,ニコモール新田店内プレビプレイランドコーナーこころっこ,139.3017798,36.3038392
プレビ劇場ISESAKI,群馬県伊勢崎市西小保方町368,スマーク伊勢崎店内3階,139.2328927,36.3395617
ピアゴ藤岡,群馬県藤岡市藤岡416-4,,139.0816334,36.2454549
アピタ前橋,群馬県前橋市文京町2-1-1,,139.0785076,36.3783444
アピタ館林,群馬県館林市楠町3648-1,,139.5689186,36.2424857
アピタ笠懸,群馬県みどり市笠懸町阿佐美1285-1,,139.3035629,36.391475
アピタ伊勢崎東,群馬県伊勢崎市三室町5330,,139.233804,36.3290796
ビリーザキッド伊勢崎店,群馬県伊勢崎市西小保方町368,スマーク伊勢崎3F330区画,139.2328927,36.3395617
イトーヨーカドー藤岡,群馬県藤岡市藤岡831,,139.0826546,36.2521245
イトーヨーカドー伊勢崎,群馬県伊勢崎市連取町1507,,139.1818025,36.3163352
アピナ太田店,群馬県太田市内ヶ島町907-1,,139.3984248,36.2829707
モーリーファンタジーミスターマックス伊勢崎,群馬県伊勢崎市宮子町3556-1,ミスターマックス1F,139.1511165,36.3288289
モーリーファンタジー太田,群馬県太田市石原町81,イオン2F,139.4004201,36.2938414
らんらんらんどガーデン前橋,群馬県前橋市小屋原町472-1,ガーデン前橋1F,139.1296704,36.3561201
イオン高崎,群馬県高崎市棟高町1400,,139.0066913,36.3904993
イオン太田(群馬),群馬県太田市石原町81,,139.400463,36.2940446
ペリカン行橋,福岡県行橋市西宮市3-8-1,ゆめタウン行橋内2F,130.9677936,33.720351
ペリカン筑紫野,福岡県筑紫野市針摺東3-3-1,ゆめタウン筑紫野内2F,130.5383644,33.4843575
トイザらス小倉,福岡県北九州市小倉南区下曽根新町10-1,ザ・モール小倉2F,130.933176,33.8324665
トイザらス福岡ホークスタウン,福岡県福岡市中央区地行浜2-2-1,ホークスタウン1F,130.3636599,33.5931428
トイザらス久留米,福岡県久留米市新合川1-3-30,,130.5374821,33.3206507
トイザらス福岡香椎,福岡県福岡市東区香椎浜3-12-1,,130.4303413,33.6576587
トイザらス八幡,福岡県北九州市八幡東区東田3-2-102,イオンモール八幡東1F,130.8112522,33.870454
ヤマダ電機テックランド福岡志免本店,福岡県糟屋郡志免町南里5-2-1,,130.4724777,33.5996572
ヨドバシカメラ博多,福岡県福岡市博多区博多駅中央街6-122,階玩具フロア,130.4218917,33.58863300000001
西友ザ・モール春日,福岡県春日市春日5-17,,130.4706472,33.5167224
ダイエーショッパーズモールなかま,福岡県中間市上蓮花寺1-1-1,,130.7230782,33.8233827
ダイエー福重,福岡県福岡市西区拾六町1-7-1,,130.3143778,33.5672096
ダイエー笹丘,福岡県福岡市中央区笹丘1-28-74,,130.3767956,33.5648293
イオン香椎浜,福岡県福岡市東区香椎浜3-12-1,,130.4303413,33.6576587
イオン福岡伊都,福岡県福岡市西区徳永1-13-1,,130.258444,33.5775576
イオン原,福岡県福岡市早良区原6-27-52,,130.3421,33.5644003
イオン徳力,福岡県北九州市小倉南区守恒2-8-8,,130.8761481,33.8337039
イオンスーパーセンター岡垣,福岡県遠賀郡岡垣町大字黒山338-1,,130.6309715,33.8625762
イオンスーパーセンター古賀,福岡県古賀市舞の里3-14-12,,130.4865303,33.7452741
イオン若松,福岡県北九州市若松区二島1-3-1,,130.743138,33.8919948
イオン直方,福岡県直方市湯野原2-1-1,,130.749394,33.7690392
イオン戸畑,福岡県北九州市戸畑区汐井町2-2,,130.8196896,33.8962989
